order_id,store_id,order_hour,day_of_week,is_weekend,is_peak_hour,weather_condition,traffic_level,vehicle_type,distance_km,num_items,prep_time_seconds,edt_seconds
JP010001,Nagoya-Sakae,14,Monday,0,0,clear,low,bicycle,11.04,4,817,4358
JP010002,Tokyo-Shinjuku,12,Friday,0,1,cloudy,very_high,bicycle,1.09,8,584,1697
JP010003,Tokyo-Shinjuku,10,Sunday,1,0,cloudy,very_high,scooter,7.54,5,459,2929
JP010004,Osaka-Namba,9,Sunday,1,0,rain,low,bicycle,12.76,7,399,5764
JP010005,Kyoto-Gion,19,Sunday,1,1,rain,high,bicycle,1.34,8,849,2045
JP010006,Tokyo-Shibuya,13,Thursday,0,1,clear,high,car,3.1,6,891,1747
JP010007,Osaka-Namba,15,Saturday,1,0,clear,low,car,1.7,4,596,954
JP010008,Tokyo-Shibuya,13,Sunday,1,1,cloudy,low,scooter,2.1,5,764,1378
JP010009,Kyoto-Gion,15,Tuesday,0,0,rain,high,bicycle,5.88,5,373,3908
JP010010,Tokyo-Akihabara,16,Friday,0,0,cloudy,medium,scooter,0.67,7,576,910
JP010011,Sapporo-Odori,16,Tuesday,0,0,rain,low,bicycle,1.15,1,623,1117
JP010012,Nagoya-Sakae,17,Wednesday,0,0,clear,medium,car,2.53,6,517,1114
JP010013,Fukuoka-Tenjin,11,Thursday,0,0,heavy_rain,medium,scooter,2.89,3,552,1556
JP010014,Sapporo-Odori,13,Friday,0,1,rain,very_high,car,3.07,7,670,1828
JP010015,Osaka-Namba,16,Tuesday,0,0,snow,very_high,bicycle,1.22,1,412,1757
JP010016,Tokyo-Akihabara,11,Saturday,1,0,cloudy,very_high,car,1.26,2,694,1152
JP010017,Nagoya-Sakae,10,Friday,0,0,heavy_rain,high,car,1.88,1,417,936
JP010018,Sapporo-Odori,19,Sunday,1,1,rain,high,bicycle,2.04,5,745,2306
JP010019,Tokyo-Akihabara,13,Thursday,0,1,clear,high,car,3.24,3,819,1687
JP010020,Tokyo-Shibuya,11,Sunday,1,0,rain,medium,bicycle,15.67,6,465,8088
JP010021,Sapporo-Odori,18,Sunday,1,1,snow,low,car,1.28,6,800,1444
JP010022,Tokyo-Shinjuku,18,Monday,0,1,rain,high,bicycle,0.77,1,546,1201
JP010023,Tokyo-Shibuya,14,Monday,0,0,heavy_rain,low,car,0.93,3,431,770
JP010024,Fukuoka-Tenjin,14,Friday,0,0,cloudy,high,car,0.73,7,516,1038
JP010025,Sapporo-Odori,13,Sunday,1,1,cloudy,high,scooter,1.88,6,748,1560
JP010026,Sapporo-Odori,20,Thursday,0,1,clear,medium,bicycle,2.74,2,646,1990
JP010027,Tokyo-Shinjuku,11,Friday,0,0,snow,medium,car,4.87,4,307,1782
JP010028,Tokyo-Shibuya,18,Saturday,1,1,clear,medium,bicycle,2.88,1,638,2074
JP010029,Tokyo-Shibuya,16,Friday,0,0,cloudy,high,car,2.45,8,519,1289
JP010030,Sapporo-Odori,13,Tuesday,0,1,snow,very_high,bicycle,2.99,8,716,4349
JP010031,Osaka-Namba,20,Monday,0,1,clear,very_high,scooter,1.5,7,720,1550
JP010032,Fukuoka-Tenjin,12,Sunday,1,1,clear,low,bicycle,0.78,7,647,1224
JP010033,Tokyo-Shibuya,13,Tuesday,0,1,cloudy,medium,car,1.12,8,443,995
JP010034,Nagoya-Sakae,19,Tuesday,0,1,rain,very_high,bicycle,1.22,2,753,1850
JP010035,Sapporo-Odori,20,Monday,0,1,clear,low,bicycle,3.21,4,470,1724
JP010036,Nagoya-Sakae,12,Thursday,0,1,heavy_rain,medium,scooter,2.45,1,468,1279
JP010037,Nagoya-Sakae,19,Monday,0,1,heavy_rain,high,scooter,7.4,5,733,3710
JP010038,Sapporo-Odori,14,Saturday,1,0,heavy_rain,medium,bicycle,1.38,5,522,1509
JP010039,Tokyo-Shinjuku,11,Friday,0,0,snow,low,car,1.94,6,358,1018
